id;signup_date;house_id;fee;kind;cancelled_at;is_active;service_end_date;service_start_date;stripe_plan;stripe_subscription;proposal_id;ready_for_billing_migration
48;2015-03-23;162;130.00;m;;t;;2015-03-23;;;3278;f
714;2015-09-10;3472;35.00;w;2015-10-02 03:53:36.843979+00;f;;2015-10-02;;;264;f
724;2015-09-15;3613;34.00;b;;t;;2015-10-09;;;823;f
781;2015-09-30;3852;38.00;b;;t;;;;;;f
784;2015-09-30;3705;34.00;b;;t;;;;;;f
795;2015-10-02;3605;112.00;b;;t;;;;;1431;f
740;2015-09-21;3766;47.00;b;;t;;2015-10-13;;;363;f
743;2015-09-21;2548;34.00;b;;t;;2015-10-13;;;283;f
710;2015-10-03;3429;62.00;b;;t;;2015-09-30;;;3287;f
536;2015-08-02;2472;34.00;b;;t;;;"";"";379;f
222;2015-05-28;508;56.00;w;;t;;2015-06-30;;;981;f
295;2015-06-12;1372;35.00;b;2015-06-24 07:00:00+00;f;;2015-06-29;;;;f
303;2015-06-15;1391;29.00;b;2015-06-30 07:00:00+00;f;;2015-07-08;;;;f
354;2015-06-25;1545;34.00;b;2015-07-01 07:00:00+00;f;;2015-07-16;;;;f
261;2015-06-04;1052;32.00;b;2015-07-08 07:00:00+00;f;;2015-06-25;;;;f
353;2015-06-25;1728;31.00;b;2015-07-09 07:00:00+00;f;;;;;;f
264;2015-06-04;539;53.00;b;2015-07-21 07:00:00+00;f;;2015-06-22;;;;f
363;2015-06-26;1409;30.00;w;2015-07-07 07:00:00+00;f;;2015-07-13;;;;f
716;2015-09-10;2853;24.00;w;;t;;2015-09-23;;;1277;f
647;2015-08-27;1447;30.00;w;;t;;2015-09-07;;;1289;f
643;2015-08-26;2926;39.00;b;;t;;2015-09-16;;;1304;f
198;2015-05-22;541;32.00;b;;t;;2015-06-09;;;1192;f
590;2015-08-14;2314;41.00;w;;t;;2015-08-25;;;1032;f
199;2015-05-22;309;59.00;b;;t;;2015-06-18;;;1194;f
205;2015-05-25;509;53.00;b;;t;;2015-06-04;;;1203;f
683;2015-09-01;620;39.00;b;;t;;2015-09-03;;;1066;f
228;2015-05-29;606;29.00;b;;t;;2015-06-09;;;1219;f
207;2015-05-25;628;22.00;w;;t;;2015-06-25;;;1036;f
713;2015-09-10;3445;34.00;b;;t;;2015-09-23;;;1071;f
634;2015-08-25;2399;46.00;b;;t;;2015-09-15;;;1309;f
657;2015-08-29;1504;33.00;w;;t;;2015-09-10;;;375;f
769;2015-09-28;1774;39.00;b;;t;;;;;389;f
624;2015-08-23;1388;24.00;w;;t;;2015-09-09;;;1037;f
418;2015-07-06;1905;25.00;w;;t;;2015-09-03;;;1243;f
731;2015-09-16;404;19.25;w;;t;;2015-09-24;;;1042;f
208;2015-05-25;440;40.00;b;;t;;2015-06-12;;;1140;f
614;2015-08-20;2259;50.00;b;;t;;2015-09-08;;;1326;f
673;2015-08-31;1776;48.00;b;;t;;2015-09-22;;;1062;f
225;2015-05-28;593;45.00;b;;t;;2015-06-19;;;1158;f
688;2015-09-01;2203;130.00;b;;t;;2015-09-23;;;1334;f
234;2015-05-29;627;38.00;b;;t;;2015-06-15;;;1165;f
757;2015-09-24;2734;24.00;w;;t;;;;;405;f
219;2015-05-27;521;36.00;w;;t;;2015-06-15;;;1340;f
580;2015-08-12;2523;41.00;b;;t;;2015-08-26;;;424;f
678;2015-08-31;3049;24.00;w;2015-09-16 00:36:34.627371+00;f;;;;;;f
414;2015-07-04;1724;29.00;b;2015-09-16 01:34:22.461912+00;f;;2015-07-22;;;;f
455;2015-07-11;2116;44.00;b;;t;;2015-08-07;;;434;f
668;2015-08-31;1364;35.00;b;;t;;2015-09-14;;;447;f
597;2015-08-17;2535;34.00;b;;t;;2015-09-02;;;483;f
213;2015-05-26;922;32.00;b;;t;;2015-06-05;;;1172;f
775;2015-09-29;3447;50.00;b;;t;;;;;542;f
335;2015-06-22;893;61.00;b;;t;;2015-07-03;;;613;f
201;2015-05-22;992;37.00;b;;t;;2015-06-05;;;635;f
224;2015-05-28;621;25.00;w;;t;;2015-06-17;;;642;f
385;2015-06-29;653;33.00;b;2015-09-02 19:53:34+00;f;;2015-07-17;"";"";;f
440;2015-07-09;1515;31.00;b;2015-08-21 20:11:13+00;f;;2015-07-24;"";"";;f
544;2015-08-04;1733;116.00;b;2015-09-19 04:42:19+00;f;;2015-08-26;"";"";;f
639;2015-08-26;3110;34.00;b;2015-09-22 20:56:05+00;f;;2015-09-16;"";"";;f
383;2015-08-13;1855;35.00;b;;t;;;"";"";707;f
582;2015-08-12;2828;40.00;b;2015-08-16 15:33:36+00;f;;;"";"";;f
309;2015-06-17;1481;29.00;b;;t;;2015-07-07;;;726;f
216;2015-05-27;574;26.00;w;;t;;2015-06-10;;;727;f
754;2015-09-23;1316;44.00;w;;t;;2015-10-06;;;5;f
778;2015-09-30;3776;34.00;b;;t;;;;;7;f
360;2015-06-25;774;35.00;w;;t;;2015-07-16;;;47;f
609;2015-08-20;2784;34.00;b;;t;;2015-09-22;;;152;f
662;2015-08-30;3116;38.00;b;;t;;;;;188;f
696;2015-09-03;2278;34.00;b;;t;;2015-09-30;;;200;f
768;2015-09-28;3817;27.00;w;;t;;;;;205;f
760;2015-09-25;3787;34.00;b;;t;;;;;216;f
619;2015-08-21;2760;34.00;b;;t;;2015-09-14;;;238;f
596;2015-08-16;2595;51.00;w;;t;;2015-09-08;;;239;f
479;2015-07-16;1112;30.00;b;;t;;2015-07-27;;;281;f
703;2015-09-08;3373;65.00;b;;t;;2015-10-02;;;285;f
69;2015-04-06;208;225.00;m;;t;;2015-04-07;;;318;f
629;2015-08-24;1497;34.00;b;;t;;2015-09-03;;;325;f
749;2015-09-22;3517;41.00;b;;t;;;;;326;f
396;2015-07-01;802;29.00;w;;t;;2015-07-14;;;335;f
734;2015-09-17;2847;39.00;b;;t;;2015-09-30;;;344;f
652;2015-08-28;2989;38.00;b;;t;;2015-09-15;;;356;f
726;2015-09-15;2120;57.00;b;;t;;2015-10-08;;;766;f
484;2015-07-19;1969;40.00;w;;t;;2015-08-17;;;769;f
699;2015-09-05;3385;42.00;b;;t;;;"";"";791;f
746;2015-09-22;3757;34.00;b;;t;;;;;816;f
719;2015-09-12;3144;42.00;b;;t;;2015-09-29;;;817;f
706;2015-09-08;3428;34.00;b;;t;;;;;856;f
601;2015-08-17;1483;46.00;b;;t;;2015-08-26;;;870;f
773;2015-09-29;3838;34.00;b;;t;;;;;884;f
606;2015-08-18;2512;24.00;w;;t;;2015-09-08;;;885;f
416;2015-07-04;1136;56.00;w;;t;;2015-07-22;;;887;f
430;2015-07-07;1693;34.00;b;;t;;2015-07-14;;;888;f
557;2015-08-06;2486;34.00;b;;t;;2015-08-25;;;895;f
591;2015-08-14;2861;34.00;b;;t;;2015-08-31;;;900;f
392;2015-06-30;1328;42.00;b;;t;;2015-07-02;;;905;f
317;2015-06-18;676;50.00;w;;t;;2015-07-17;;;909;f
131;2015-04-27;284;54.00;m;;t;;2015-05-12;;;934;f
384;2015-06-29;1820;28.00;w;;t;;2015-07-24;;;940;f
246;2015-06-01;698;80.00;b;;t;;2015-06-15;;;953;f
49;2015-03-27;163;90.00;m;;t;;2015-03-25;;;955;f
782;2015-09-30;3541;35.00;b;;t;;;;;;f
785;2015-09-30;3778;34.00;b;;t;;;;;;f
747;2015-09-22;3448;34.00;b;;t;;2015-10-13;;;300;f
310;2015-06-17;853;119.00;w;2015-08-21 18:59:54.578412+00;f;;;;;;f
318;2015-06-18;300;78.00;m;;t;;2015-07-01;;;1115;f
744;2015-09-21;2866;34.00;b;;t;;2015-10-12;;;2641;f
30;2015-02-20;30;180.00;m;2015-03-16 07:00:00+00;f;;2015-02-20;;;;f
55;2015-03-20;186;95.00;m;2015-06-04 07:00:00+00;f;;2015-03-20;;;;f
247;2015-06-02;725;35.00;w;2015-06-17 07:00:00+00;f;;2015-06-18;;;;f
752;2015-09-23;3145;45.00;b;;t;;2015-10-06;;;862;f
235;2015-05-29;403;49.00;b;2015-06-19 07:00:00+00;f;;2015-06-15;;;;f
256;2015-06-03;542;38.00;b;2015-06-24 07:00:00+00;f;;2015-06-16;;;;f
469;2015-07-13;818;66.00;b;;t;;2015-07-31;"";"";918;f
737;2015-09-18;3683;34.00;b;;t;;2015-10-08;;;760;f
763;2015-09-26;3672;34.00;b;;t;;2015-10-16;"";"";871;f
50;2015-03-27;164;130.00;m;2015-07-17 07:00:00+00;f;;2015-03-27;;;;f
113;2015-04-23;306;527.00;m;;t;;2015-05-01;;;1121;f
270;2015-06-07;1354;41.00;b;;t;;2015-06-15;;;1216;f
59;2015-03-23;197;120.00;m;;t;;2015-03-31;;;1217;f
766;2015-09-28;3836;34.00;b;;t;;;;;882;f
602;2015-08-18;1298;24.00;w;;t;;2015-08-24;;;922;f
294;2015-06-19;724;42.00;b;;t;;2015-07-03;;;1226;f
266;2015-06-04;1287;73.00;w;;t;;2015-07-07;;;1264;f
319;2015-09-01;1589;36.00;b;;t;;2015-08-05;;;1227;f
284;2015-06-10;836;31.00;b;2015-07-14 07:00:00+00;f;;2015-06-30;;;;f
722;2015-09-14;3629;34.00;b;;t;;2015-09-28;;;1278;f
116;2015-04-23;236;88.00;m;;t;;2015-05-05;;;957;f
5;2015-02-05;5;110.00;m;;t;;;;;;f
1;2015-01-01;1;1.00;m;;t;;;;;;f
83;2015-04-03;79;90.00;m;;t;;2015-05-04;;;1125;f
720;2015-09-13;3616;34.00;b;;t;;2015-09-28;;;1274;f
93;2015-04-13;97;173.00;m;;t;;2015-05-12;;;1136;f
17;2015-03-01;17;1.00;m;;t;;;;;;f
175;2015-05-12;433;39.00;w;;t;;2015-06-04;;;1142;f
625;2015-08-23;2840;67.00;b;;t;;2015-09-04;;;1269;f
103;2015-04-27;429;47.00;b;;t;;2015-04-27;;;1151;f
423;2015-07-06;1965;43.00;b;;t;;2015-07-20;;;958;f
262;2015-06-04;658;39.00;b;;t;;2015-06-30;;;1153;f
190;2015-05-19;449;38.00;b;;t;;2015-06-08;;;1235;f
499;2015-07-23;2408;51.00;b;2015-09-08 18:27:39.772868+00;f;;;;;;f
345;2015-07-14;568;19.00;w;;t;;2015-08-07;;;1159;f
35;2015-03-09;35;140.00;m;;t;;;;;;f
258;2015-06-04;690;70.00;b;;t;;2015-06-19;;;1167;f
279;2015-06-08;854;28.00;b;;t;;2015-07-01;;;1179;f
297;2015-06-15;846;49.00;w;;t;;2015-06-29;;;1182;f
202;2015-05-22;765;34.00;b;;t;;2015-06-03;;;1184;f
44;2015-03-25;44;90.00;m;;t;;;;;;f
482;2015-07-18;2237;78.00;b;;t;;2015-08-12;;;969;f
226;2015-05-28;547;33.00;b;;t;;2015-06-15;;;1201;f
689;2015-09-02;2765;34.00;b;2015-09-15 21:52:31.265294+00;f;;;;;;f
663;2015-08-30;3161;36.00;b;2015-09-16 00:05:40.869352+00;f;;2015-09-14;;;;f
679;2015-09-01;936;86.00;b;;t;;;;;1311;f
244;2015-05-31;523;73.00;w;;f;;;;;;f
42;2015-03-13;42;80.00;m;;t;;2015-03-13;;;982;f
411;2015-07-16;1509;30.00;b;;t;;2015-07-14;;;985;f
615;2015-08-20;2733;34.00;b;;t;;2015-09-14;;;1003;f
640;2015-08-26;1821;34.00;b;;t;;2015-09-14;;;1011;f
674;2015-08-31;3061;39.00;b;;t;;2015-09-23;;;1300;f
630;2015-08-24;1668;24.00;w;;t;;2015-09-18;"";"";1012;f
372;2015-08-19;1472;46.00;b;;t;;2015-07-23;;;1014;f
610;2015-08-20;2694;41.00;b;;t;;2015-09-18;;;1015;f
669;2015-08-31;2862;28.00;w;;t;;2015-09-15;;;1018;f
419;2015-07-06;1845;33.00;b;;t;;2015-07-31;;;1021;f
543;2015-08-04;622;42.00;b;;t;;2015-08-24;;;1023;f
