created_date;reach;clicks;leads;amount_spent
2015-01-14;1333;14;;5.60
2015-01-15;3264;18;;12.44
2015-01-16;7724;45;;35.67
2015-01-17;9062;65;;42.10
2015-01-18;10144;50;;41.63
2015-01-19;10216;49;;41.03
2015-01-20;11353;49;;41.12
2015-01-21;13612;73;;55.64
2015-01-22;10831;42;;39.48
2015-01-23;10087;33;;33.13
2015-01-24;10985;45;;32.72
2015-01-25;25134;101;;99.48
2015-01-26;11579;42;;35.56
2015-01-27;10541;30;;30.98
2015-01-28;9882;30;;30.59
2015-01-29;9073;26;;29.78
2015-01-30;8459;30;;28.52
2015-01-31;8199;40;;46.44
2015-02-01;13379;54;;67.09
2015-02-02;8400;40;;51.09
2015-02-03;13656;58;;88.60
2015-02-04;13688;51;;88.11
2015-02-05;1398;57;;87.82
2015-02-06;13658;59;;87.68
2015-02-07;13625;55;;87.22
2015-02-08;15328;55;;86.79
2015-02-09;13901;64;;84.88
2015-02-10;14885;47;;86.47
2015-02-11;16892;64;;135.83
2015-02-12;15645;49;;135.33
2015-02-13;15318;68;;134.70
2015-02-14;20391;162;;190.24
2015-02-15;21846;160;;182.06
2015-02-16;8729;45;;110.95
2015-02-17;4410;43;;100.00
2015-02-18;2707;42;;74.34
2015-02-19;3933;50;;100.00
2015-02-20;3039;38;;99.21
2015-02-21;7354;180;;154.09
2015-02-22;14404;359;;229.26
2015-02-23;9181;202;;180.00
2015-02-24;9664;247;;180.00
2015-02-25;6339;110;;90.91
2015-02-28;4093;179;;64.41
2015-03-01;2200;78;;39.27
2015-03-02;355;6;;7.10
2015-03-03;3653;25;;83.39
2015-03-04;1510;10;;37.64
2015-03-05;1371;25;20;21.50
2015-03-06;7002;191;13;102.04
2015-03-07;7735;214;2;105.00
2015-03-08;6001;172;3;72.71
2015-03-09;33355;665;24;493.16
2015-03-10;4173;844;46;732.83
2015-03-11;30015;520;26;504.15
2015-03-12;2670;29;2;40.09
2015-03-16;5854;74;4;131.90
2015-03-18;2089;17;;9.77
2015-03-19;7875;48;;47.46
2015-03-20;5968;41;;26.75
2015-03-21;5414;14;;20.11
2015-03-22;2680;6;;10.91
2015-03-27;347;13;;5.90
2015-03-28;825;28;;11.31
2015-03-29;249;13;;2.79
2015-04-02;4141;43;;80.31
2015-04-03;2503;29;;47.29
2015-04-04;5897;121;8;116.32
2015-04-05;5120;95;2;74.41
2015-04-06;25475;484;25;436.49
