id;estimated_start_time;house_id;info;notes;warnings;visible;notes_ext;raw_address;raw_title;route_id;duration
3466;2015-07-30 22:30:00+00;1135;;;;t;"";;;703;02:00:00
4005;2015-08-06 15:00:00+00;592;;;;t;"";;;760;02:00:00
4006;2015-08-06 17:10:00+00;8;;;;t;"";;;760;02:00:00
8117;2015-09-24 15:00:00+00;428;"* Phone Number: (408) 630-0107
* Dogs: N/A
* Cleanup Required: Yes";"* Areas to Focus on:
* **Make sure not to blow into irrigation tubes, so they get detached!**
* **Customer says to no longer water plants**
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: ?
* Debris: (Put in green bin/Place on curb/Haul away)?
* Additional Access information: Stop at guard house to check in (we need to be announced) - we are now on the weekly list - entry should not be a problem!
* Areas/service to exclude: No grass to mow and edge
* Type of service: CUSTOM, WEEKLY
* First service date: 4/27/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1484;00:50:00
8118;2015-09-24 16:00:00+00;384;"* Phone Number: (408) 504-1665
* Dogs: None
* Cleanup Required: No";"* Areas to Focus on:
* **Let yellow shrubs in back regain their natural shape - DO NOT power hedge**
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)
* If you see owners ask about the wedding reception they hosted on July 1";"* Gate Access Code: **1111**
* Trash Pickup Day: Wednesday
* Debris: Put in green bin
* Additional Access information: None
* Areas/service to exclude: Let yellow shrubs in back regain their natural shape - DO NOT power hedge
* Type of service: CUSTOM, BI-WEEKLY
* First service date: 4/22/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1484;01:45:00
3471;2015-07-30 15:00:00+00;309;;;;t;"";;;704;03:00:00
8119;2015-09-24 17:50:00+00;531;"* Phone Number: (408) 504-1665
* Dogs: Yes 
* Cleanup Required: No";"* Areas to Focus on:
* **Lots of grass & dog waste**
* **Customer is paying us to pick up dog waste!**
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: N/A
* Trash Pickup Day: ?
* Debris: (Put in green bin/Place on curb/Haul away)?
* Additional Access information: Gate seemed to be locked but customer does not lock the gate - lock can be removed easily
* **If dog is outside, knock on door to have dog put inside**
Customer's kids are mostly at home and will put the dog inside
* Areas/service to exclude: 
* Type of service: ESSENTIALS, BI-WEEKLY
* First service date: 5/4/2015
* Blower restriction: None
* (Annotated Blueprint link)";t;"";;;1484;01:30:00
2405;2015-07-15 21:30:00+00;38;;;;t;"";;;501;02:00:00
8384;2015-09-24 17:20:00+00;206;;re-do check;CLOSE THE GATE so the dogs don't get out (yay Devon, a dog!);t;"";;;1522;01:00:00
2406;2015-07-17 15:00:00+00;641;;;;t;"";;;522;02:00:00
2167;2015-07-13 15:00:00+00;84;"* Kris asked us to put them as a first stop on our route because she has three small kids that nap mid-morning

* Phone #: **(408) 410-4250**";"* Vines behind shed have been removed May 11

* $105 per month

* Use green bin

* Pick-up: WED
- June 8:
  - Hedged two shrubs in front by garage door
";"* Do not ring the doorbell, if you have questions, because kids might sleep! Call customer instead

* Check hedges on property
  * Text me, if  you hedge or if we need to hedge next week (send photo)
- Monitor lawns and plants
  - text me, if you notice problems with irrigation

* Dog run is excluded from service

";t;"";;;470;00:45:00
8375;2015-09-24 15:00:00+00;748;;Lauren - please have irrigation go out to prepare a quote for a full irrigation upgrade (replacing soaker hose with drip line) and adding 6 extra emitters wherever she wants her carpet roses (roses location to be confirmed by client). We're comping this quote visit. Thanks!;Introduce yourself and talk to customer about her carpet roses.;t;"";;;1522;02:00:00
5945;2015-08-31 19:20:00+00;159;"* Kids & pets: Daughter (Zoe)
* Weekly 
* Cleanup Required: No";"* Areas to Focus on:
  - Water potted plant by front door (use watering can)
  - Trimmed back vines from side fence
  - Plants in the window boxes on the fence
* Take garbage bins curbside after service 
PICK UP: TUE";"* Door code/key location: Enter through the little side gate to your left (when you look at the house from the street)

* Type of service: Custom

* Date of first service: March 24, 2015

- Use **battery operated blower** per Menlo Park regulations";t;"";;;1128;00:25:00
8370;2015-09-24 15:00:00+00;2777;"* Phone Number:  (408) 265-0960
* Dogs: Yes
* Cleanup Required: Completed Sept 4";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)



@Magdalena * there is a dog - gardener must be careful to latch both gates at all times!
* rake out cutting garden
* trim azaleas - only the dead parts
* trim rose shoots
* (let Kim know if we need pruning out for this. Was NOT done with initial cleanup and should have been)
* no mowing is needed - lawn is dead and irrigation turned off except for the azaleas (Kim will get her a revised SO)
* Customer will be on site and will want to speak with Abel to advise but is also looking to judge his expertise!
* we have to impress her - needs attention to detail

@Magdalena - she wants us to impress her; she wants to like us but she is off to a bad start";"- ***Please pay extreme attention to detail - customer is very critical of her maintenance care!!*** Customer will need to be impressed

* Customer was disappointed because we did not manage to schedule her on Friday 8am and cleanup was disappointing

* We also convinced customer to get a green bin (customer was not happy about this)
* Gate Access Code: Gate opens via padlock from the inside
* Trash Pickup Day: MONDAY
* Debris: **Put in green bin**
* Additional Access information:  ***Customer will unlock gate and keep dog inside. Please ensure latch on both gates are secured at all times!! Clippings bin can be placed curbside near fire hydrant*** 
* Areas/service to exclude: No MOW; pruning will take care of [Lavender](http://goo.gl/AfDYKD)
 and [Wisteria](https://goo.gl/lg1G9o)

* Type of service:  CUSTOM/WEEKLY
* First service date:  September 10
* Blower restriction: None";t;"";;;1482;01:05:00
7995;2015-09-23 19:05:00+00;923;"* Phone Number:  (408) 887-9586
* Dogs:  None
* Cleanup Required: No";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: 
* Trash Pickup Day: 
* Debris:   **Put in green bin**
* Additional Access information: 
* Areas/service to exclude:
* Type of service:  CUSTOM,/BI-WEEKLY
* First service date:  8/26/2015
* Blower restriction: None";f;"";;;1466;01:40:00
8709;2015-10-01 20:30:00+00;;;;;f;;;Lunch;1573;00:30:00
8105;2015-09-24 17:10:00+00;2364;"* Phone Number:  805-451-0330
* Dogs: 1 Dog (named Bandit)
* Cleanup Required: No";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"- **VIP CLIENT - Please give excellent service - PAY EXTREME ATTENTION to detail please!!**
* Gate Access Code: 
* Trash Pickup Day: WEDNESDAY
* Debris: **Put in green bin**
* Additional Access information: 
* Areas/service to exclude:
* Type of service: CUSTOM/WEEKLY
* First service date: September 10 
* Blower restriction: None
(Annotated Blueprint link) - add if available and keep in Temp Doc for HN clean up)";t;"";;;1482;01:30:00
8110;2015-09-24 21:15:00+00;1109;"* Phone Number:  408-393-7454
* Dogs: None
* Cleanup Required: Completed August 27";"* Areas to Focus on:
* [Deadhead instructions for flowers](https://www.evernote.com/shard/s381/nl/2147483647/5f8d602c-461a-4008-8e1c-14ec12c9da3f/)
* [Hedges and Shrubs]( http://www.hort.purdue.edu/ext/ho-4.pdf)
* [Ornamental grasses]( http://extension.illinois.edu/grasses/care.cfm)";"* Gate Access Code: 
* Trash Pickup Day: THURSDAY
* Debris: **Place on curb**
* Additional Access information: **Enter the small gate on the left of the house for access to the rear yard** 
* Areas/service to exclude:
* Type of service:  CUSTOM/BI-WEEKLY
* First service date: September 10
* Blower restriction: None
(Annotated Blueprint link) - add if available and keep in Temp Doc for HN clean up)";t;"";;;1482;01:25:00
8340;2015-09-25 20:00:00+00;94;;;;f;;;;1516;01:00:00
3472;2015-07-30 18:15:00+00;456;;;;t;"";;;704;01:45:00
4015;2015-08-06 16:45:00+00;433;;;;t;"";;;813;02:30:00
