id;title;date;kind
1;Jorge & Marcell;2015-05-05;MAI
2;Fernando’s Route;2015-05-07;MAI
3;Fernando’s & Alfredo’s Route ;2015-05-12;MAI
4;Fernando’s Route;2015-05-14;MAI
5;Fernando’s Route;2015-05-15;MAI
6;Johnny’s Route;2015-05-19;MAI
7;Ramiro;2015-05-27;MAI
8;Marcell’s & Jorge’s Route;2015-05-22;MAI
9;Ramiro;2015-05-28;MAI
10;Jorge's Route;2015-05-28;MAI
11;Johnny's & Jose's Route;2015-05-26;MAI
12;jorge Maintainance;2015-06-04;MAI
13;Jorge's & Marcell's Route;2015-05-27;MAI
14;Ramiro and Jose ;2015-06-04;MAI
16;Abel;2015-06-01;MAI
17;Ramiro and Jose Pruning;2015-06-01;MAI
18;johnny Maintainance;2015-06-01;MAI
19;Ramiro & Antonio;2015-05-29;MAI
20;Daniel's & Marcell's Route;2015-05-29;MAI
21;Abel;2015-05-29;MAI
22;fernando Maintainance;2015-06-02;MAI
23;jtrewin Maintainance;2015-06-07;MAI
24;Abel Pruning;2015-06-08;MAI
26;Maintainance-daniel;2015-06-08;MAI
27;Ramiro Pruning;2015-06-08;MAI
1324;Pruning-antonio,jason-auto-1324;2015-09-11;PRU
1528;Pruning-eliasloza,ramiro-auto-1528;2015-09-25;PRU
1334;Maintenance-ricardo-auto-1334;2015-09-14;MAI
31;Ramiro and Jose Pruning;2015-06-05;MAI
32;Ramiro and Jose;2015-06-03;MAI
33;johnny Maintainance;2015-06-02;MAI
34;jorge Maintainance;2015-06-02;MAI
36;Abel;2015-06-02;MAI
37;Abel;2015-06-09;MAI
1537;Maintenance-marcell-auto-1537;2015-09-28;MAI
1344;Maintenance-fernando,ringo-auto-1344;2015-09-15;MAI
41;Maintainance-Fernando;2015-06-16;MAI
1544;Maintenance-alfredo-auto-1544;2015-09-29;MAI
43;Maintainance-daniel;2015-06-12;MAI
44;Maintainance-johnny;2015-06-12;MAI
45;Maintainance-aaron;2015-06-25;MAI
1364;Irrigation-jesus-auto-1364;2015-09-14;IRR
47;Maintainance-jtrewin;2015-06-15;MAI
48;mulching - Tony plus one;2015-06-25;MAI
50;Maintainance-fernando;2015-07-03;MAI
51;Maintainance-daniel;2015-06-11;MAI
52;Maintainance-jtrewin;2015-06-11;MAI
53;Maintainance-fernando;2015-06-11;MAI
1374;Maintenance-johnny-auto-1374;2015-09-16;MAI
55;Maintainance-Fernando;2015-06-17;MAI
56;Maintainance-fernando;2015-06-24;MAI
57;Maintainance-fernando;2015-06-25;MAI
58;Maintainance-daniel;2015-07-03;MAI
59;Initial Clean Up- Abel and trainees;2015-07-08;MAI
60;Maintainance-johnny;2015-06-24;MAI
61;clean up - abel and crew;2015-06-24;MAI
62;Add-ons Nancy and Benito;2015-06-23;MAI
63;Maintainance-johnny;2015-06-23;MAI
